iter	Logloss
0	0.6539770508
1	0.6197171631
2	0.590562439
3	0.5651934814
4	0.5407889404
5	0.5184880371
6	0.5000800476
7	0.4863257446
8	0.4713082886
9	0.4566477051
10	0.4481004333
11	0.438977417
12	0.4295320435
13	0.4211107178
14	0.4149044495
15	0.4096313477
16	0.4046758423
17	0.3988987732
18	0.3942681274
19	0.3881535034
20	0.3848255005
21	0.3815735779
22	0.3788007812
23	0.3762096558
24	0.3724547119
25	0.3702825623
26	0.368948761
27	0.3664337158
28	0.3647681885
29	0.3632423706
30	0.3603488464
31	0.3590003662
32	0.3578666382
33	0.356788208
34	0.354535675
35	0.3532078552
36	0.3510120239
37	0.349190155
38	0.3483101501
39	0.3467296753
40	0.3453257446
41	0.3448455811
42	0.343597168
43	0.342467041
44	0.341817627
45	0.3406743774
46	0.3394291687
47	0.3387519226
48	0.3382447815
49	0.337571991
50	0.3366500244
51	0.3357852783
52	0.3345427551
53	0.3339091797
54	0.3333312988
55	0.3330133972
56	0.3328033447
57	0.3325441284
58	0.3320789185
59	0.3320271606
60	0.3311835632
61	0.3303575745
62	0.3298915405
63	0.3294672546
64	0.3293131104
65	0.3290065918
66	0.3288460083
67	0.3287645874
68	0.3285652161
69	0.3283862305
70	0.328132019
71	0.3279116821
72	0.3277297974
73	0.3276115112
74	0.3273800964
75	0.327109436
76	0.3269492187
77	0.3262443237
78	0.3256714783
79	0.3255028687
80	0.325048584
81	0.3247480164
82	0.3246019897
83	0.3245433044
84	0.3244736023
85	0.3243341064
86	0.3236949463
87	0.323499939
88	0.3234042053
89	0.3230136108
90	0.3229456177
91	0.3225032349
92	0.3224387817
93	0.3224058228
94	0.3220551147
95	0.3219360657
96	0.321630188
97	0.3214747925
98	0.3213455505
99	0.3211221619
100	0.321074585
101	0.3208355103
102	0.3206356506
103	0.3205713196
104	0.3204994507
105	0.3204437561
106	0.3199223633
107	0.319736145
108	0.3196844482
109	0.3196015625
110	0.3194368591
111	0.3192892456
112	0.3192677002
113	0.3191408691
114	0.3190767212
115	0.3189934082
116	0.3188580627
117	0.3188273315
118	0.3185493164
119	0.3183791504
120	0.3180967407
121	0.3180479736
122	0.3176864929
123	0.3172209167
124	0.3171407471
125	0.3168424072
126	0.3167689209
127	0.3166526794
128	0.3165726929
129	0.3163039551
130	0.316201416
131	0.3161115723
132	0.3158933716
133	0.3158348999
134	0.3154989929
135	0.315403656
136	0.3152930908
137	0.3151240845
138	0.3148700867
139	0.3147633667
140	0.3147135315
141	0.3145608521
142	0.3144125366
143	0.3142842407
144	0.3138381348
145	0.3136891479
146	0.3135693054
147	0.3135186157
148	0.3134209595
149	0.3133117371
150	0.3131705017
151	0.3130873413
152	0.3129781799
153	0.3128838501
154	0.3127954102
155	0.3126387329
156	0.3124857788
157	0.3124390259
158	0.3123633423
159	0.3123070984
160	0.3122418213
161	0.3121611938
162	0.3120610352
163	0.3119571533
164	0.3118606873
165	0.3118031006
166	0.3117590332
167	0.3117246094
168	0.3116525879
169	0.3115950928
170	0.3115358887
171	0.3113788147
172	0.3109424438
173	0.310847229
174	0.3107929688
175	0.3106497803
176	0.3105700073
177	0.3105066833
178	0.3103751221
179	0.3103236389
180	0.3101856079
181	0.3101307373
182	0.3100336914
183	0.3099738464
184	0.3098513184
185	0.3097946777
186	0.3097357788
187	0.3096352539
188	0.3092478638
189	0.3091083984
190	0.3089776306
191	0.3088807983
192	0.3087744446
193	0.3086269531
194	0.3085200195
195	0.308444519
196	0.308375946
197	0.3082930908
198	0.3081796875
199	0.3080907593
200	0.3079060669
201	0.3078282471
202	0.3077531433
203	0.3076585083
204	0.3075922852
205	0.3074297485
206	0.3073534546
207	0.3072328796
208	0.3071552734
209	0.3070286255
210	0.3069549561
211	0.3068340149
212	0.3067445984
213	0.3066792603
214	0.3064715576
215	0.3063998108
216	0.3063123779
217	0.3061220093
218	0.306040863
219	0.3059695435
220	0.3058652649
221	0.3058007202
222	0.3055914001
223	0.305353302
224	0.3052212524
225	0.3050480652
226	0.3049680786
227	0.3048904724
228	0.3048178406
229	0.3047165222
230	0.3044927063
231	0.3044256592
232	0.3043010254
233	0.3042315369
234	0.3040241699
235	0.3038781128
236	0.303715332
237	0.3035426636
238	0.3034694519
239	0.3034009705
240	0.3032251282
241	0.303048645
242	0.3029553223
243	0.3025375366
244	0.3024257202
245	0.3023536987
246	0.3022835693
247	0.3021435242
248	0.3020756836
249	0.3020125122
250	0.3018192749
251	0.3016881104
252	0.3015636292
253	0.3015012512
254	0.3014327393
255	0.3013675537
256	0.3011204834
257	0.3009956055
258	0.3009319458
259	0.3008646545
260	0.300800293
261	0.3007062988
262	0.3006424255
263	0.3004957886
264	0.3004251404
265	0.3003621521
266	0.3003018799
267	0.3001975098
268	0.3000489502
269	0.2999459839
270	0.2998875427
271	0.2998299561
272	0.2996495056
273	0.2995869446
274	0.2995291748
275	0.299477356
276	0.2992660522
277	0.2992106934
278	0.2990741272
279	0.2989024353
280	0.2986813049
281	0.2985244751
282	0.298470459
283	0.2984002686
284	0.2982044067
285	0.2980269165
286	0.2978804016
287	0.2978242798
288	0.2976713257
289	0.297549408
290	0.2974906616
291	0.2974300842
292	0.2972297363
293	0.2970585327
294	0.296906311
295	0.2967425537
296	0.2966484375
297	0.2965322876
298	0.2964725647
299	0.2963441772
