iter	Passed	Remaining
399	54077	81115
400	54191	80949
401	54345	80842
402	54433	80637
403	54521	80432
404	54612	80233
405	54712	80046
406	54803	79849
407	54895	79652
408	54998	79472
409	55074	79253
410	55160	79050
411	55243	78842
412	55331	78642
413	55418	78442
414	55506	78244
415	55596	78049
416	55694	77865
417	55791	77681
418	55897	77509
419	56044	77394
420	56137	77205
421	56240	77030
422	56355	76873
423	56464	76706
424	56600	76577
425	56683	76376
426	56799	76220
427	56879	76016
428	56986	75849
429	57127	75727
430	57301	75648
431	57464	75555
432	57654	75497
433	57800	75379
434	57959	75280
435	58121	75184
436	58256	75054
437	58412	74949
438	58590	74873
439	58751	74774
440	58916	74680
441	59091	74599
442	59249	74497
443	59396	74378
444	59555	74276
445	59681	74133
446	59750	73919
447	59870	73768
448	59976	73601
449	60094	73448
450	60196	73276
451	60301	73108
452	60406	72941
453	60520	72784
454	60625	72617
455	60716	72434
456	60835	72284
457	60923	72097
458	61026	71928
459	61127	71757
460	61241	71602
461	61345	71437
462	61440	71260
463	61550	71100
464	61651	70932
465	61755	70767
466	61842	70582
467	61943	70414
468	62024	70223
469	62111	70040
470	62202	69862
471	62294	69685
472	62386	69509
473	62482	69336
474	62576	69163
475	62675	68995
476	62821	68879
477	62983	68780
478	63139	68675
479	63294	68568
480	63450	68463
481	63607	68358
482	63760	68248
483	63887	68111
484	64006	67965
485	64169	67866
486	64343	67778
487	64529	67703
488	64685	67595
489	64856	67504
490	65056	67441
491	65267	67390
492	65398	67256
493	65511	67102
494	65576	66901
495	65668	66727
496	65740	66534
497	65846	66375
498	65940	66204
499	66068	66068
500	66196	65931
501	66326	65798
502	66441	65649
503	66520	65464
504	66638	65319
505	66744	65161
506	66821	64976
507	66943	64835
508	67006	64637
509	67124	64492
510	67214	64320
511	67311	64156
512	67398	63982
513	67504	63827
514	67587	63650
515	67669	63473
516	67761	63305
517	67840	63125
518	67916	62944
519	67998	62767
520	68118	62627
521	68279	62524
522	68450	62430
523	68624	62338
524	68809	62255
525	68977	62158
526	69149	62063
527	69335	61981
528	69514	61893
529	69700	61810
530	69874	61716
531	70057	61629
532	70242	61544
533	70417	61450
534	70583	61348
535	70713	61214
536	70834	61073
537	70947	60925
538	71076	60790
539	71193	60646
540	71307	60499
541	71430	60360
542	71544	60213
543	71609	60025
544	71702	59861
545	71801	59702
546	71895	59540
547	71987	59376
548	72081	59214
549	72165	59044
550	72257	58881
551	72351	58719
552	72425	58542
553	72512	58376
554	72603	58213
555	72688	58046
556	72780	57884
557	72877	57727
558	72962	57560
559	73055	57401
560	73147	57240
561	73247	57085
562	73308	56901
563	73372	56720
564	73507	56594
565	73642	56467
566	73784	56346
567	73940	56236
568	74106	56133
569	74276	56033
570	74524	55991
571	74762	55940
572	74962	55862
573	75179	55795
574	75375	55712
575	75631	55672
576	75849	55605
577	76025	55506
578	76119	55347
579	76234	55204
580	76321	55041
581	76463	54917
582	76554	54756
583	76663	54609
584	76763	54456
585	76848	54292
586	76958	54145
587	77048	53986
588	77136	53825
589	77219	53660
590	77294	53491
591	77377	53327
592	77459	53163
593	77561	53013
594	77677	52873
595	77786	52728
596	77901	52586
597	78006	52439
598	78123	52299
599	78246	52164
600	78371	52030
601	78485	51889
602	78589	51741
603	78704	51600
604	78793	51443
605	78893	51293
606	79038	51173
607	79217	51074
608	79343	50941
609	79514	50837
610	79656	50714
611	79824	50607
612	79983	50495
613	80131	50376
614	80278	50255
615	80447	50148
616	80565	50010
617	80726	49899
618	80877	49780
619	81018	49656
620	81138	49519
621	81282	49396
622	81412	49265
623	81510	49115
624	81601	48960
625	81686	48803
626	81751	48633
627	81853	48486
628	81928	48323
629	82006	48162
630	82087	48003
631	82172	47847
632	82261	47693
633	82352	47541
634	82431	47382
635	82514	47225
636	82600	47070
637	82668	46905
638	82768	46759
639	82855	46606
640	82934	46448
641	83039	46305
642	83097	46136
643	83181	45982
644	83277	45834
645	83379	45690
646	83520	45568
647	83616	45421
648	83747	45293
649	83822	45135
650	83932	44996
651	84000	44834
652	84096	44688
653	84159	44524
654	84273	44388
655	84342	44228
656	84457	44092
657	84534	43937
658	84682	43818
659	84849	43710
660	85012	43599
661	85148	43474
662	85300	43358
663	85455	43242
664	85586	43115
665	85747	43002
666	85933	42902
667	86081	42783
668	86208	42653
669	86320	42516
670	86469	42397
671	86579	42259
672	86745	42148
673	86907	42035
674	87066	41920
675	87234	41810
676	87345	41673
677	87454	41534
678	87563	41395
679	87684	41263
680	87792	41124
681	87907	40989
682	88014	40850
683	88131	40715
684	88244	40579
685	88349	40440
686	88470	40307
687	88578	40169
688	88687	40031
689	88806	39898
690	88917	39762
691	89021	39622
692	89132	39485
693	89224	39341
694	89322	39199
695	89412	39053
696	89508	38911
697	89601	38767
698	89676	38616
699	89746	38462
700	89835	38318
701	89916	38169
702	89999	38022
703	90092	37879
704	90177	37733
705	90270	37591
706	90405	37466
707	90545	37343
708	90726	37237
709	90893	37125
710	91016	36995
711	91133	36862
712	91302	36751
713	91445	36629
714	91601	36512
715	91749	36392
716	91904	36274
717	92031	36146
718	92208	36036
719	92321	35902
720	92478	35785
721	92668	35681
722	92798	35553
723	92974	35443
724	93084	35307
725	93195	35173
726	93321	35043
727	93396	34895
728	93497	34756
729	93560	34604
730	93676	34471
731	93740	34320
732	93846	34184
733	93911	34033
734	94016	33896
735	94077	33745
736	94180	33608
737	94240	33456
738	94349	33322
739	94421	33175
740	94503	33031
741	94572	32883
742	94650	32739
743	94701	32585
744	94773	32439
745	94850	32294
746	94949	32158
747	95072	32029
748	95171	31893
749	95269	31756
750	95361	31618
751	95440	31475
752	95547	31341
753	95658	31209
754	95749	31071
755	95847	30934
756	95938	30796
757	96023	30656
758	96178	30538
759	96319	30416
760	96445	30289
761	96577	30164
762	96717	30042
763	96866	29922
764	97030	29806
765	97206	29694
766	97320	29564
767	97475	29445
768	97636	29328
769	97793	29211
770	97942	29090
771	98109	28975
772	98283	28861
773	98444	28744
774	98594	28624
775	98684	28486
776	98774	28348
777	98866	28211
778	98961	28075
779	99052	27937
780	99144	27801
781	99234	27663
782	99324	27526
783	99415	27390
784	99509	27254
785	99603	27118
786	99695	26982
787	99793	26847
