iter	Logloss
0	0.6733733385
1	0.6550325367
2	0.6375064765
3	0.6201720438
4	0.6037399162
5	0.5890314231
6	0.5751655069
7	0.5628061701
8	0.5496829977
9	0.5387564944
10	0.52933897
11	0.5194725466
12	0.5095709911
13	0.5007460981
14	0.4939966326
15	0.487168304
16	0.4800993012
17	0.4735701332
18	0.4671417929
19	0.4608617168
20	0.4538519585
21	0.4495388434
22	0.4446423529
23	0.4395788564
24	0.4356389351
25	0.429988724
26	0.4247070393
27	0.4200626922
28	0.4164631515
29	0.4120216137
30	0.4084191628
31	0.4046391583
32	0.4017939406
33	0.3996127227
34	0.3967139084
35	0.3942608909
36	0.3922295982
37	0.3895472515
38	0.3877819969
39	0.385568224
40	0.3829628435
41	0.380333102
42	0.3780957737
43	0.376387315
44	0.3748581226
45	0.3739921598
46	0.3724192099
47	0.3711088477
48	0.3692094556
49	0.3680648565
50	0.36712687
51	0.3656508319
52	0.3642136113
53	0.3634684418
54	0.3626294585
55	0.3614066989
56	0.3603392244
57	0.3588928235
58	0.3576402939
59	0.3564535101
60	0.3555371973
61	0.3547393698
62	0.3538063121
63	0.3530661136
64	0.352049091
65	0.3510958245
66	0.3506874914
67	0.3497754307
68	0.3490210129
69	0.3480789699
70	0.3474990583
71	0.3468104865
72	0.3458607249
73	0.3451491994
74	0.3446310162
75	0.3440246492
76	0.3434526579
77	0.3426688475
78	0.3420039067
79	0.3415858419
80	0.3408665799
81	0.3404005823
82	0.3398698589
83	0.3394303803
84	0.3388128275
85	0.3384278142
86	0.3379029072
87	0.3372966979
88	0.3367635719
89	0.3362649196
90	0.3358213843
91	0.3356242022
92	0.3352990531
93	0.3349655132
94	0.3345713952
95	0.3342442442
96	0.3339802729
97	0.3335912972
98	0.3333106554
99	0.3330233971
100	0.3326293215
101	0.3321854144
102	0.3318658045
103	0.3315876228
104	0.331467539
105	0.331177686
106	0.3311385054
107	0.3308459447
108	0.3305840954
109	0.3302555526
110	0.3299900004
111	0.3296520563
112	0.329500871
113	0.3292761096
114	0.3290142672
115	0.3288958182
116	0.3287002441
117	0.3285856918
118	0.3283638968
119	0.3281562315
120	0.328051822
121	0.3277943741
122	0.3274833786
123	0.327111732
124	0.3267825664
125	0.3265860565
126	0.3263112315
127	0.326122207
128	0.3259779643
129	0.3256235678
130	0.3254583292
131	0.3252252614
132	0.3251522285
133	0.3248608356
134	0.3245752989
135	0.3242293168
136	0.3239262761
137	0.3238352365
138	0.3237775155
139	0.3236107288
140	0.3233010309
141	0.3232090641
142	0.3230528838
143	0.3228159154
144	0.3226556447
145	0.3225331941
146	0.3224756544
147	0.3222476249
148	0.3221344814
149	0.3218565334
150	0.3216456189
151	0.3215203816
152	0.3214462632
153	0.3214295066
154	0.3211843395
155	0.320966899
156	0.3209451562
157	0.320812849
158	0.3206717363
159	0.3205027682
160	0.3204049974
161	0.3203924569
162	0.3201303669
163	0.3198909843
164	0.3197523082
165	0.3194708823
166	0.319269461
167	0.3190302547
168	0.3188767191
169	0.3186437067
170	0.3185509355
171	0.3183426486
172	0.3181771153
173	0.3180732876
174	0.3179067217
175	0.3177551588
176	0.3175648995
177	0.3175111835
178	0.317371234
179	0.317231326
180	0.317100765
181	0.3169606768
182	0.3167571143
183	0.3165723083
184	0.3164014331
185	0.3162675597
186	0.3161548871
187	0.3160506681
188	0.3157814349
189	0.3157693075
190	0.3156760248
191	0.315502549
192	0.3154904534
193	0.3153788967
194	0.3151841432
195	0.3151243236
196	0.3148837543
197	0.3147040329
198	0.3145975989
199	0.3145254726
200	0.3144583103
201	0.3143535094
202	0.314290653
